Cable System Name,Operators,Known Users (ASes),Length of Cable System (km),Sources,Connecting cables,Landing Point 1,Landing Point 2,Landing Point 3,Landing Point 4,Landing Point 5,Landing Point 6,Landing Point 7,Landing Point 8,Landing Point 9,Landing Point 10,Landing Point 11,Landing Point 12,Landing Point 13,Landing Point 14,Landing Point 15,Landing Point 16,Landing Point 17,Landing Point 18,Landing Point 19,Landing Point 20,Landing Point 21,Landing Point 22,Segment 1,Segment 1 Length (km),Segment 1 Predicted RTT (ms),Segment 2,Segment 2 Length (km),Segment 2 Predicted RTT (ms),Segment 3,Segment 3 Length (km),Segment 4,Segment 4 Length (km),Segment 4 Predicted RTT (ms),Segment 5,Segment 5 Length (km),Segment 5 Predicted RTT (ms),Segment 6,Segment 6 Length (km),Segment 6 Predicted RTT (ms),Segment 7,Segment 7 Length (km),Segment 7 Predicted RTT (ms),Segment 8,Segment 8 Length (km),Segment 8 Predicted RTT (ms),Segment 9,Segment 9 Length (km),Segment 9 Predicted RTT (ms),Segment 10,Segment 10 Length (km),Segment 10 Predicted RTT (ms),Segment 11,Segment 11 Length (km),Segment 11 Predicted RTT (ms),Segment 12,Segment 12 Length (km),Segment 12 Predicted RTT (ms),Segment 13,Segment 13 Length (km),Segment 13 Predicted RTT (ms),Segment 14,Segment 14 Length (km),Segment 14 Predicted RTT (ms),Segment 15,Segment 15 Length (km),Segment 15 Predicted RTT (ms),Segment 16,Segment 16 Length (km),Segment 16 Predicted RTT (ms),Segment 17,Segment 17 Length (km),Segment 17 Predicted RTT (ms),Segment 18,Segment 18 Length (km),Segment 18 Predicted RTT (ms)
falcon,"Global Cloud Xchange, GCX",BSO Network Solutions,10300,"https://www.submarinecablemap.com/submarine-cable/falcon, https://www.infrapedia.com/subsea-cable/falconwarf, https://www.submarinenetworks.com/en/systems/asia-europe-africa/hawk",hawk,"Manama, Bahrain","Suez, Egypt","Mumbai, India","Trivandrum, India","Bandar Abbas, Iran","Chabahar, Iran","Al Faw, Iraq","Al Safat, Kuwait","Male, Maldives","Al Seeb, Oman","Khasab, Oman","Doha, Qatar","Al Khobar, Saudi Arabia","Jeddah, Saudi Arabia","Colombo, Sri Lanka","Port Sudan, Sudan","Dubai, United Arab Emirates","Al Ghaydah, Yemen","Al Hudaydah, Yemen",,,,"Suez, Egypt; Al Seeb, Oman",,,"[Suez, Egypt; Al Seeb, Oman]; Jeddah, Saudi Arabia",,,"[Suez, Egypt; Al Seeb, Oman]; Port Sudan, Sudan",,"[Suez, Egypt; Al Seeb, Oman]; Al Hudaydah, Yemen",,,"[Suez, Egypt; Al Seeb, Oman]; Al Ghaydah, Yemen",,,"Al Seeb, Oman; Khasab, Oman",,,"Khasab, Oman; Dubai, United Arab Emirates",,,"Dubai, United Arab Emirates; Doha, Qatar",,,"Doha, Qatar; Manama, Bahrain",,,"Manama, Bahrain; Al Khobar, Saudi Arabia",,,"Al Khobar, Saudi Arabia; Al Safat, Kuwait",,,"Al Safat, Kuwait; Bandar Abbas, Iran",,,"[Al Safat, Kuwait; Bandar Abbas, Iran]; Al Faw, Iraq",,,"Bandar Abbas, Iran; Al Seeb, Oman",,,"Al Seeb, Oman; Chabahar, Iran",,,"[Al Seeb, Oman; Chabahar, Iran]; Mumbai, India",,,"Male, Maldives; Trivandrum, India",,,"[Male, Maldives; Trivandrum, India]; Colombo, Sri Lanka",,
far-east-submarine-cable-system,Rostelecom,,1855,https://www.submarinecablemap.com/submarine-cable/far-east-submarine-cable-system,,"Okha, Russia","Ola, Russia","Ust-Bolsheretsk, Russia",,,,,,,,,,,,,,,,,,,,"Ola, Russia; Okha, Russia",,,"Okha, Russia; Ust-Bolsheretsk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farice-1,Farice,"BSO Network Solutions, PCCW, ICUK",1205,"https://www.submarinecablemap.com/submarine-cable/farice-1, https://www.infrapedia.com/subsea-cable/farice-1",,"Seydisfjordur, Iceland","Dunnet Bay, United Kingdom","Funningsfjordur, Faroe Islands",,,,,,,,,,,,,,,,,,,,"Seydisfjordur, Iceland; Dunnet Bay, United Kingdom",,,"[Seydisfjordur, Iceland; Dunnet Bay, United Kingdom]; Funningsfjordur, Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farland-north,BT,,150,https://www.submarinecablemap.com/submarine-cable/farland-north,,"Domburg, Netherlands","Aldeburgh, United Kingdom",,,,,,,,,,,,,,,,,,,,,"Domburg, Netherlands; Aldeburgh, United Kingdom",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faster,"China Mobile, China Telecom, Google, KDDI, Singtel, TIME dotCom",Tata Communications,11629,"https://www.submarinecablemap.com/submarine-cable/faster, https://www.tatacommunications.com/map/",,"Chikura, Japan","Shima, Japan","Tanshui, Taiwan","Bandon, OR, United States",,,,,,,,,,,,,,,,,,,"Tanshui, Taiwan; Bandon, OR, United States",,,"[Tanshui, Taiwan; Bandon, OR, United States]; Shima, Japan",,,"[Tanshui, Taiwan; Bandon, OR, United States]; Chikura, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fehmarn-blt,Arelion,,20,https://www.submarinecablemap.com/submarine-cable/fehmarn-blt,,"Rodbyhavn, Denmark","Puttgarden, Germany",,,,,,,,,,,,,,,,,,,,,"Rodbyhavn, Denmark; Puttgarden, Germany",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiber-optic-gulf-fog,"Bahrain Telecommunications Company (Batelco), Etisalat UAE, Kuwait Ministry of Communications,",,1300,https://www.submarinecablemap.com/submarine-cable/fiber-optic-gulf-fog,,"Manama, Bahrain","Kuwait City, Kuwait","Doha, Qatar","Dubai, United Arab Emirates",,,,,,,,,,,,,,,,,,,"Kuwait City, Kuwait; Dubai, United Arab Emirates",,,"[Kuwait City, Kuwait; Dubai, United Arab Emirates]; Manama, Bahrain",,,"[Kuwait City, Kuwait; Dubai, United Arab Emirates]; Doha, Qatar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibra-optica-al-pacfico,Entel Bolivia,,1180,https://www.infrapedia.com/subsea-cable/fibra-optica-al-pacifico,,"Ilo, Peru","Lurin, Peru",,,,,,,,,,,,,,,,,,,,,"Ilo, Peru; Lurin, Peru",1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibra-optica-austral,Subtel,,2800,https://www.submarinecablemap.com/submarine-cable/fibra-optica-austral,,"Puerto Montt, Chile","Puerto Williams, Chile","Punta Arenas, Chile","Tortel, Chile",,,,,,,,,,,,,,,,,,,"Puerto Montt, Chile; Puerto Williams, Chile",,,"[Puerto Montt, Chile; Puerto Williams, Chile]; Tortel, Chile",,,"[Puerto Montt, Chile; Puerto Williams, Chile]; Punta Arenas, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fibralink,Liberty Latin America (LLA),,1000,https://www.submarinecablemap.com/submarine-cable/fibralink,,"Puerto Plata, Dominican Republic","Kaliko, Haiti","Bull Bay, Jamaica","Montego Bay, Jamaica","Ocho Rios, Jamaica",,,,,,,,,,,,,,,,,,"Montego Bay, Jamaica; Ocho Rios, Jamaica",,,"Bull Bay, Jamaica; Puerto Plata, Dominican Republic",,,"[Bull Bay, Jamaica; Puerto Plata, Dominican Republic]; Kaliko, Haiti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland-estonia-2-eesf-2,"Arelion, Telia Eesti",,98,https://www.submarinecablemap.com/submarine-cable/finland-estonia-2-eesf-2,,"Tallinn, Estonia","Helsinki, Finland",,,,,,,,,,,,,,,,,,,,,"Tallinn, Estonia; Helsinki, Finland",98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland-estonia-3-eesf-3,"Arelion, Telia Eesti",,104,https://www.submarinecablemap.com/submarine-cable/finland-estonia-3-eesf-3,,"Merem_isa, Estonia","Helsinki, Finland",,,,,,,,,,,,,,,,,,,,,"Merem_isa, Estonia; Helsinki, Finland",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finland-estonia-connection-fec,Elisa Corporation,,250,https://www.infrapedia.com/subsea-cable/finland-estonia-connection-fec,,"Helsinki, Finland","Tallinn, Estonia",,,,,,,,,,,,,,,,,,,,,"Tallinn, Estonia; Helsinki, Finland",,,"Helsinki, Finland; Tallinn, Estonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firmina,Google,Telxius,14517,"https://www.submarinecablemap.com/submarine-cable/firmina, https://telxius.com/en/our-network/firmina/",,"Las Toninas, Argentina","Praia Grande, Brazil","Myrtle Beach, SC, United States","Punta del Este, Uruguay",,,,,,,,,,,,,,,,,,,"Myrtle Beach, SC, United States; Las Toninas, Argentina",,,"[Myrtle Beach, SC, United States; Las Toninas, Argentina]; Praia Grande, Brazil",,,"[Myrtle Beach, SC, United States; Las Toninas, Argentina]; Punta del Este, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag-atlantic-1-fa-1,"Global Cloud Xchange, GCX","BSO Network Solutions, Zayo, Sparkle, Global Secure Layer",14500,"https://www.submarinecablemap.com/submarine-cable/flag-atlantic-1-fa-1, https://www.infrapedia.com/subsea-cable/flag-atlantic-1-fa-1, https://go.zayo.com/Zayo_Network_Capabilities_Mapbook, https://www.submarinenetworks.com/en/systems/trans-atlantic/fa-1/gcx-and-sparkle-extend-partnership-over-fa-1-cable, https://www.globalbackbone.tisparkle.com/#",,"Plerin, France","Skewjack, United Kingdom","Island Park, NY, United States","Northport, NY, United States",,,,,,,,,,,,,,,,,,,"Northport, NY, United States; Skewjack, United Kingdom",,,"Plerin, France; Island Park, NY, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag-europe-asia-fea,"Global Cloud Xchange, GCX",,28000,https://www.submarinecablemap.com/submarine-cable/flag-europe-asia-fea,,"Lantau Island, China","Nanhui, China","Alexandria, Egypt","Port Said, Egypt","Suez, Egypt","Mumbai, India","Palermo, Italy","Miura, Japan","Aqaba, Jordan","Penang, Malaysia","Jeddah, Saudi Arabia","Geoje, South Korea","Estepona, Spain","Satun, Thailand","Songkhla, Thailand","Fujairah, United Arab Emirates","Porthcurno, United Kingdom",,,,,,"Porthcurno, United Kingdom; Palermo, Italy",,,"[Porthcurno, United Kingdom; Palermo, Italy]; Estepona, Spain",,,"Palermo, Italy; Alexandria, Egypt",,"Alexandria, Egypt; Port Said, Egypt",,,"Port Said, Egypt; Suez, Egypt",,,"Alexandria, Egypt; Suez, Egypt",,,"Suez, Egypt; Mumbai, India",,,"[Suez, Egypt; Mumbai, India]; Aqaba, Jordan",,,"[Suez, Egypt; Mumbai, India]; Jeddah, Saudi Arabia",,,"[Suez, Egypt; Mumbai, India]; Fujairah, United Arab Emirates",,,"Mumbai, India; Satun, Thailand",,,"[Mumbai, India; Satun, Thailand]; Penang, Malaysia",,,"Satun, Thailand; Songkhla, Thailand",,,"Songkhla, Thailand; Lantau Island, China",,,"Lantau Island, China; Geoje, South Korea",,,"[Lantau Island, China; Geoje, South Korea]; Nanhui, China",,,"Geoje, South Korea; Miura, Japan",,,,,
flag-north-asia-loopreach-north-asia-loop,"Global Cloud Xchange, GCX, PCCW Global, Telstra",Tata Communications,9504,"https://www.submarinecablemap.com/submarine-cable/flag-north-asia-loopreach-north-asia-loop, https://www.tatacommunications.com/map/",,"Tong Fuk, China","Wada, Japan","Busan, South Korea","Toucheng, Taiwan",,,,,,,,,,,,,,,,,,,"Tong Fuk, China; Toucheng, Taiwan",,,"Toucheng, Taiwan; Wada, Japan",,,"Wada, Japan; Busan, South Korea",,"Busan, South Korea; Tong Fuk, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flores-corvo-cable-system,Viatel,,685,https://www.submarinecablemap.com/submarine-cable/flores-corvo-cable-system,,"Corvo, Portugal","Faial, Portugal","Flores, Portugal","Graciosa, Portugal",,,,,,,,,,,,,,,,,,,"Graciosa, Portugal; Corvo, Portugal",,,"Corvo, Portugal; Flores, Portugal",,,"Flores, Portugal; Faial, Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly-lion3,"Comoros Cables, Orange, Société Réunionnaise du Radiotéléphone",,400,https://www.submarinecablemap.com/submarine-cable/fly-lion3,,"Moroni, Comoros","Kaweni, Mayotte",,,,,,,,,,,,,,,,,,,,,"Moroni, Comoros; Kaweni, Mayotte",400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fos-quellon-chacabuco,Grupo Gtd,,350, https://www.submarinecablemap.com/submarine-cable/fos-quellon-chacabuco,,"Puerto Chacabuco, Chile","Quellon, Chile",,,,,,,,,,,,,,,,,,,,,"Puerto Chacabuco, Chile; Quellon, Chile",350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galapagos-cable-system,Galapagos Cable Systems,,1250,https://www.submarinecablemap.com/submarine-cable/galapagos-cable-system,,"Manta, Ecuador","Puerto Ayora, Ecuador","Puerto Baquerizo Moreno, Ecuador","Puerto General Villamil, Ecuador",,,,,,,,,,,,,,,,,,,"Puerto General Villamil, Ecuador; Puerto Ayora, Ecuador",,,"Puerto Ayora, Ecuador; Puerto Baquerizo Moreno, Ecuador",,,"Puerto Baquerizo Moreno, Ecuador; Manta, Ecuador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-bermuda,Liberty Latin America (LLA),,1287,https://www.submarinecablemap.com/submarine-cable/gemini-bermuda,,"St. DavidÂ¡Â¯s, Bermuda","Manasquan, NJ, United States",,,,,,,,,,,,,,,,,,,,,"St. DavidÂ¡Â¯s, Bermuda; Manasquan, NJ, United States",1287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo-eirgrid,"Eirgrid, Zayo Group",euNetworks Group,187,"https://www.submarinecablemap.com/submarine-cable/geo-eirgrid, https://www.infrapedia.com/subsea-cable/geo-eirgrid",,"Lusk, Ireland","Deeside Clwyd, United Kingdom",,,,,,,,,,,,,,,,,,,,,"Lusk, Ireland; Deeside Clwyd, United Kingdom",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georgia-russia,"DanTelco, FOPTNET, Rostelecom",,433,"https://www.submarinecablemap.com/submarine-cable/georgia-russia, https://www.infrapedia.com/subsea-cable/georgia-russia",,"Poti, Georgia","Sochi, Russia","Novorossiysk, Russia",,,,,,,,,,,,,,,,,,,,"Poti, Georgia; Sochi, Russia",,,"Sochi, Russia; Novorossiysk, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
germany-denmark-3,TDC Group (TDC A/S),,47,"https://www.submarinecablemap.com/submarine-cable/germany-denmark-3, https://www.infrapedia.com/subsea-cable/germany-denmark-3",,"Gedser, Denmark","Markgrafenheide, Germany",,,,,,,,,,,,,,,,,,,,,"Gedser, Denmark; Markgrafenheide, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gignet-1,GigNet,,1104,https://www.infrapedia.com/subsea-cable/gignet-1,,"Cancun, Mexico","Boca Raton, Florida",,,,,,,,,,,,,,,,,,,,,"Cancun, Mexico; Boca Raton, Florida",1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glo-1,Globacom Limited,Sparkle,9800,"https://www.submarinecablemap.com/submarine-cable/glo-1, https://www.infrapedia.com/subsea-cable/glo-1-globacom-1, https://www.globalbackbone.tisparkle.com/#",,"Accra, Ghana","Lagos, Nigeria","Bude, United Kingdom",,,,,,,,,,,,,,,,,,,,"Lagos, Nigeria; Bude, United Kingdom",,,"[Lagos, Nigeria; Bude, United Kingdom]; Accra, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global-caribbean-network-gcn,"Leucadia National Corporation, Loret Group",Digicel,890,"https://www.infrapedia.com/subsea-cable/global-caribbean-network-gcn, https://www.submarinecablemap.com/submarine-cable/global-caribbean-network-gcn. https://lafibre.info/images/international/201102_reseau_fibre_global_caribbean_network.pdf",-,"Baillif, Guadeloupe","Jarry, Guadeloupe","Gustavia, Saint Barthelemy","Marigot, Saint Martin","San Juan, PR, United States","St. Croix, VI, United States",,,,,,,,,,,,,,,,,"Jarry, Guadeloupe; Baillif, Guadeloupe",,,"Baillif, Guadeloupe; Marigot, Saint Martin",,,"Marigot, Saint Martin; Gustavia, Saint Barthelemy",,"Marigot, Saint Martin; San Juan, PR, United States",,,"[Marigot, Saint Martin; San Juan, PR, United States]; St. Croix, VI, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globalconnect-2-gc2,GlobalConnect Group,,95,"https://www.infrapedia.com/subsea-cable/globalconnect-2-gc2, https://www.submarinecablemap.com/submarine-cable/globalconnect-2-gc2",-,"Kungsbacka, Sweden","Saeby, Denmark",,,,,,,,,,,,,,,,,,,,,"Kungsbacka, Sweden; Saeby, Denmark",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globalconnect-3-gc3,GlobalConnect Group,,19,"https://www.infrapedia.com/subsea-cable/globalconnect-3-gc3, https://www.submarinecablemap.com/submarine-cable/globalconnect-3-gc3",-,"Korsor, Denmark","Nybor, Denmark",,,,,,,,,,,,,,,,,,,,,"Korsor, Denmark; Nybor, Denmark",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globalconnect-kpn,GlobalConnect Group,,43,"https://www.infrapedia.com/subsea-cable/globalconnect-kpn, https://www.submarinecablemap.com/submarine-cable/globalconnect-kpn",-,"Gedser, Denmark","Rostock, Germany",,,,,,,,,,,,,,,,,,,,,"Gedser, Denmark; Rostock, Germany",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globenet,"V.tal, globenet","Zayo, Tata Communications, PCCW",23500,"https://www.infrapedia.com/subsea-cable/globenet, https://www.submarinecablemap.com/submarine-cable/globenet, https://www.datacenterdynamics.com/en/news/vtal-plans-new-subsea-cables-in-latin-america/, https://www.submarinenetworks.com/en/systems/brazil-us/malbec/globenet-extends-malbec-cable-system-to-equinix-sp2-sp4-in-sao-paulo-s, https://go.zayo.com/Zayo_Network_Capabilities_Mapbook, https://www.tatacommunications.com/map/",malbec,"St. David's, Bermuda","Fortaleza, Brazil","Rio de Janeiro, Brazil","Barranquilla, Colombia","Boca Raton, FL, United States","Tuckerton, NJ, United States","Maiquetia, Venezuela",,,,,,,,,,,,,,,,"Rio de Janeiro, Brazil; Fortaleza, Brazil",,,"Rio de Janeiro, Brazil; Fortaleza, Brazil",,,"Fortaleza, Brazil; Maiquetia, Venezuela",,"Maiquetia, Venezuela; Boca Raton, FL, United States",,,"[Maiquetia, Venezuela; Boca Raton, FL, United States]; Barranquilla, Colombia",,,"Boca Raton, FL, United States; Tuckerton, NJ, United States",,,"Tuckerton, NJ, United States; St. David's, Bermuda",,,"St. David's, Bermuda; Fortaleza, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-1-mediterranean-cable-system,GO plc,,290,"https://www.submarinecablemap.com/submarine-cable/go-1-mediterranean-cable-system, https://www.infrapedia.com/subsea-cable/go-1-mediterranean-cable-system",-,"Mazara del Vallo, Italy","St. Paul's Bay, Malta",,,,,,,,,,,,,,,,,,,,,"Mazara del Vallo, Italy; St. Paul's Bay, Malta",290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gondwana-1,OPT,,2151,"https://www.submarinecablemap.com/submarine-cable/gondwana-1, https://www.infrapedia.com/subsea-cable/gondwana-1, https://en.wikipedia.org/wiki/Southern_Cross_Cable",southern-cross-cable-network-sccn,"Noumea, New Caledonia","Sydney, NSW, Australia","Mouly, New Caledonia","Poindimie, New Caledonia","Xepenehe, New Caledonia",,,,,,,,,,,,,,,,,,"Noumea, New Caledonia; Sydney, NSW, Australia",2151,,"Poindimie, New Caledonia; Xepenehe, New Caledonia",,,"[Poindimie, New Caledonia; Xepenehe, New Caledonia]; Mouly, New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gondwana-2picot-2,OPT,,1515,"https://www.submarinecablemap.com/submarine-cable/gondwana-2picot-2, https://www.infrapedia.com/subsea-cable/gondwana-2picot-2",-,"Suva, Fiji","Mont-Dore, New Caledonia","Noumea, New Caledonia","Tadine, New Caledonia","Vao, New Caledonia","We, New Caledonia","Yate, New Caledonia",,,,,,,,,,,,,,,,"Suva, Fiji; Noumea, New Caledonia",,,"[Suva, Fiji; Noumea, New Caledonia]; Mont-Dore, New Caledonia",,,"[Suva, Fiji; Noumea, New Caledonia]; Vao, New Caledonia",,"[Suva, Fiji; Noumea, New Caledonia]; Yate, New Caledonia",,,"[Suva, Fiji; Noumea, New Caledonia]; Tadine, New Caledonia",,,"[Suva, Fiji; Noumea, New Caledonia]; We, New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grace-hopper,Google LLC,"Lumen, CenturyLink, Level3",7191,"https://www.submarinecablemap.com/submarine-cable/grace-hopper, https://www.infrapedia.com/subsea-cable/grace-hopper, https://en.wikipedia.org/wiki/Grace_Hopper_(submarine_communications_cable)",-,"Bellport, NY, United States","Bilbao, Spain","Bude, United Kingdom",,,,,,,,,,,,,,,,,,,,"Bellport, NY, United States; Bilbao, Spain",6300,,"[Bellport, NY, United States; Bilbao, Spain]; Bude, United Kingdom",891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenland-connect,Tusass A/S,,4580,"https://www.submarinecablemap.com/submarine-cable/greenland-connect, https://www.infrapedia.com/subsea-cable/greenland-connect,https://www.datacenterdynamics.com/en/news/greenlands-tusass-begins-survey-for-new-subsea-cable/, https://en.wikipedia.org/wiki/Greenland_Connect",greenland-connect-north,"Landeyjar, Iceland","Milton, NL, Canada","Nuuk, Greenland","Qaqortoq, Greenland",,,,,,,,,,,,,,,,,,,"Milton, NL, Canada; Nuuk, Greenland",,,"Nuuk, Greenland; Landeyjar, Iceland",,,"[Nuuk, Greenland; Landeyjar, Iceland]; Qaqortoq, Greenland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greenland-connect-north,Tusass A/S,,680,"https://www.submarinecablemap.com/submarine-cable/greenland-connect-north, https://www.infrapedia.com/subsea-cable/greenland-connect-north, https://www.datacenterdynamics.com/en/news/greenlands-tusass-begins-survey-for-new-subsea-cable/, https://en.wikipedia.org/wiki/Greenland_Connect",greenland-connect,"Aasiaat, Greenland","Maniitsoq, Greenland","Nuuk, Greenland","Sisimiut, Greenland",,,,,,,,,,,,,,,,,,,"Nuuk, Greenland; Maniitsoq, Greenland",,,"Maniitsoq, Greenland; Sisimiut, Greenland",,,"Sisimiut, Greenland; Aasiaat, Greenland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groix-4,"Enedis France, Orange",,7.5,"https://www.submarinecablemap.com/submarine-cable/groix-4, https://www.infrapedia.com/subsea-cable/groix-4, https://www.boursier.com/actions/actualites/news/enedis-et-orange-achevent-les-travaux-de-modernisation-de-la-connectivite-a-groix-875406.html",-,"Groix, France","Ploemeur, France",,,,,,,,,,,,,,,,,,,,,"Groix, France; Ploemeur, France",7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gtmo-1,U.S. Defense Information Systems Agency (DISA),,1528,"https://www.infrapedia.com/subsea-cable/gtmo-1, https://www.submarinecablemap.com/submarine-cable/gtmo-1, https://www.submarinenetworks.com/en/systems/brazil-us/gtmo-1",-,"Dania Beach, FL, United States","Guantanamo Bay, Cuba",,,,,,,,,,,,,,,,,,,,,"Dania Beach, FL, United States; Guantanamo Bay, Cuba",1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gtmo-pr,U.S. Defense Information Systems Agency (DISA),,1400,"https://www.infrapedia.com/subsea-cable/gtmo-pr, https://www.submarinecablemap.com/submarine-cable/gtmo-pr, https://www.submarinenetworks.com/en/systems/brazil-us/gtmo-pr",-,"Guantanamo Bay, Cuba","Punta Salina, PR, US",,,,,,,,,,,,,,,,,,,,,"Guantanamo Bay, Cuba; Punta Salina, PR, United States",1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guadeloupe-cable-des-iles-du-sud-gcis,Regional Councel of Guadeloupe,,118,"https://www.submarinecablemap.com/submarine-cable/guadeloupe-cable-des-iles-du-sud-gcis, https://www.infrapedia.com/subsea-cable/guadeloupe-cable-des-iles-du-sud-gcis",-,"Beausejour, Guadeloupe","Capesterre-Belle-Eau, Guadeloupe","Saint-Francois, Guadeloupe","Saint-Louis, Guadeloupe","Terre-de-Haut, Guadeloupe",,,,,,,,,,,,,,,,,,"Terre-de-Haut, Guadeloupe; Beausejour, Guadeloupe",,,"[Terre-de-Haut, Guadeloupe; Beausejour, Guadeloupe]; Capesterre-Belle-Eau, Guadeloupe",,,"[Terre-de-Haut, Guadeloupe; Beausejour, Guadeloupe]; Saint-Francois, Guadeloupe",,"[Terre-de-Haut, Guadeloupe; Beausejour, Guadeloupe]; Saint-Louis, Guadeloupe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guam-okinawa-kyushu-incheon-goki,AT&T,,4244,"https://www.submarinecablemap.com/submarine-cable/guam-okinawa-kyushu-incheon-goki, https://www.infrapedia.com/subsea-cable/guam-okinawa-kyushu-incheon-goki",-,"Tumon Bay, GU, United States","Naha, Japan","Kitakyushu, Japan",,,,,,,,,,,,,,,,,,,,"Tumon Bay, GU, United States; Kitakyushu, Japan",,,"[Tumon Bay, GU, United States; Kitakyushu, Japan]; Naha, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guernsey-jersey-4,Sure Telecom,,37,https://www.infrapedia.com/subsea-cable/guernsey-jersey-4,-,"Greve de Lecq, Jersey","Saints Bay, Guernsey",,,,,,,,,,,,,,,,,,,,,"Greve de Lecq, Jersey; Saints Bay, Guernsey",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
