Cable System Name,Operators,Known Users (ASes),Length of Cable System (km),Sources,Connecting cables,Landing Point 1,Landing Point 2,Landing Point 3,Landing Point 4,Landing Point 5,Landing Point 6,Landing Point 7,Landing Point 8,Landing Point 9,Landing Point 10,Landing Point 11,Landing Point 12,Landing Point 13,Landing Point 14,Landing Point 15,Landing Point 16,Landing Point 17,Landing Point 18,Landing Point 19,Landing Point 20,Landing Point 21,Landing Point 22,Segment 1,Segment 1 Length (km),Segment 1 Predicted RTT (ms),Segment 2,Segment 2 Length (km),Segment 2 Predicted RTT (ms),Segment 3,Segment 3 Length (km),Segment 4,Segment 4 Length (km),Segment 4 Predicted RTT (ms),Segment 5,Segment 5 Length (km),Segment 5 Predicted RTT (ms),Segment 6,Segment 6 Length (km),Segment 6 Predicted RTT (ms),Segment 7,Segment 7 Length (km),Segment 7 Predicted RTT (ms),Segment 8,Segment 8 Length (km),Segment 8 Predicted RTT (ms),Segment 9,Segment 9 Length (km),Segment 9 Predicted RTT (ms),Segment 10,Segment 10 Length (km),Segment 10 Predicted RTT (ms),Segment 11,Segment 11 Length (km),Segment 11 Predicted RTT (ms),Segment 12,Segment 12 Length (km),Segment 12 Predicted RTT (ms),Segment 13,Segment 13 Length (km),Segment 13 Predicted RTT (ms),Segment 14,Segment 14 Length (km),Segment 14 Predicted RTT (ms),Segment 15,Segment 15 Length (km),Segment 15 Predicted RTT (ms),Segment 16,Segment 16 Length (km),Segment 16 Predicted RTT (ms),Segment 17,Segment 17 Length (km),Segment 17 Predicted RTT (ms),Segment 18,Segment 18 Length (km),Segment 18 Predicted RTT (ms)
national-digital-transmission-network-ndtn,Telecoms Infrastructure Corporation of the Philippines (TelicPhil),BayanTel,1400,https://www.infrapedia.com/subsea-cable/national-digital-transmission-network-ndtn,,"Dumaguete, Philippines","Iloilo City, Philippines","Lucena, Philippines","San Jose, Philippines",,,,,,,,,,,,,,,,,,,"Lucena, Philippines; San Jose, Philippines",,,"San Jose, Philippines; Iloilo City, Philippines",,,"Iloilo City, Philippines; Dumaguete, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nationwide-submarine-cable-ooredoo-maldives-nascom,Ooredoo Maldives Plc,,1086,https://www.infrapedia.com/subsea-cable/nationwide-submarine-cable-ooredoo-maldives-nascom,,"Eydhafushi, Maldives","Hithadhoo, Maldives","Hulhumale, Maldives","Kolhufushi, Maldives","Kulhudhufushi, Maldives","Thinadhoo, Maldives",,,,,,,,,,,,,,,,,"Kulhudhufushi, Maldives; Eydhafushi, Maldives",,,"Eydhafushi, Maldives; Hulhumale, Maldives",,,"Hulhumale, Maldives; Kolhufushi, Maldives",,"Kolhufushi, Maldives; Thinadhoo, Maldives",,,"Thinadhoo, Maldives; Hithadhoo, Maldives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natitua,OPT French Polynesia,,2680,"https://www.submarinecablemap.com/submarine-cable/natitua,https://mcc.com.cy/projects/natitua/",,"Arutua, French Polynesia","Fakarava, French Polynesia","Hao, French Polynesia","Hitia'a, French Polynesia","Hiva Oa, French Polynesia","Kaukura, French Polynesia","Makemo, French Polynesia","Manihi, French Polynesia","Nuku Hiva, French Polynesia","Rangiroa, French Polynesia","Takaroa, French Polynesia",,,,,,,,,,,,"Hitia'a, French Polynesia; Nuku Hiva, French Polynesia",,,"[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Rangiroa, French Polynesia",,,"[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Manihi, French Polynesia",,"[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Takaroa, French Polynesia",,,"[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hiva Oa, French Polynesia",,,"[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hao, French Polynesia",,,"[[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hao, French Polynesia]; Kaukura, French Polynesia",,,"[[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hao, French Polynesia]; Arutua, French Polynesia",,,"[[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hao, French Polynesia]; Fakarava, French Polynesia",,,"[[Hitia'a, French Polynesia; Nuku Hiva, French Polynesia]; Hao, French Polynesia]; Makemo, French Polynesia",,,,,,,,,,,,,,,,,,,,,,,,,,
natitua-sud,OPT French Polynesia,,820,https://www.submarinecablemap.com/submarine-cable/natitua-sud,,"Hitia'a, French Polynesia","Rurutu, French Polynesia","Tubuai, French Polynesia",,,,,,,,,,,,,,,,,,,,"Hitia'a, French Polynesia; Tubuai, French Polynesia",,,"[Hitia'a, French Polynesia; Tubuai, French Polynesia]; Rurutu, French Polynesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nelson-levin,Spark New Zealand,,212,https://www.submarinecablemap.com/submarine-cable/nelson-levin,,"Levin, New Zealand","Nelson, New Zealand",,,,,,,,,,,,,,,,,,,,,"Levin, New Zealand; Nelson, New Zealand",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new-cross-pacific-ncp-cable-system,"China Mobile, China Telecom, China Unicom, Chunghwa Telecom, KT, Microsoft, Softbank Corp",,13618,https://www.submarinecablemap.com/submarine-cable/new-cross-pacific-ncp-cable-system,,"Busan, South Korea
","Chongming, China","Lingang, China","Maruyama, Japan","Nanhui, China","Pacific City, OR","Toucheng, Taiwan",,,,,,,,,,,,,,,,"Pacific City, OR; Toucheng, Taiwan",,,"[Pacific City, OR; Toucheng, Taiwan]; Maruyama, Japan",,,"[Pacific City, OR; Toucheng, Taiwan];Nanhui, China",,"[[Pacific City, OR; Toucheng, Taiwan];Nanhui, China]; Chongming, China",,,"[[Pacific City, OR; Toucheng, Taiwan];Nanhui, China];Busan, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigeria-cameroon-submarine-cable-system-ncscs,Camtel,,1100,https://www.submarinecablemap.com/submarine-cable/nigeria-cameroon-submarine-cable-system-ncscs,,"Fortaleza, Brazil","Kribi, Cameroon",,,,,,,,,,,,,,,,,,,,,"Fortaleza, Brazil; Kribi, Cameroon",1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no-uk,NO-UK COM AS,,713,https://www.submarinecablemap.com/submarine-cable/no-uk,,"Newcastle, United Kingdom","Stavanger, Norway",,,,,,,,,,,,,,,,,,,,,"Newcastle, United Kingdom; Stavanger, Norway",713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nordbalt,"Lietuvos Energija, Svenska KraftnÃ¤t",,400,https://www.submarinecablemap.com/submarine-cable/nordbalt,,"Klaipeda, Lithuania","Nybro, Sweden",,,,,,,,,,,,,,,,,,,,,"Klaipeda, Lithuania; Nybro, Sweden",400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north-west-cable-system,Vocus Communication,,2100,"https://www.infrapedia.com/subsea-cable/north-west-cable-system,https://www.vocus.com.au/news/vocus-wins-major-contract-in-the-oil-and-gas-market-in-north-west-australia","Darwin, Australia","Port Hedland, Australia",Wurrumiyanga Australia,,,,,,,,,,,,,,,,,,,,,"Port Hedland, Australia; Darwin, Australia",,,"[Port Hedland, Australia; Darwin, Australia]; Wurrumiyanga Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
